epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.118,1.48965,1.9547,1.38372,0.74184,0.98648,0.92018,0.66819,1.01982,1.64893,1.09516,0.000660494,0.000660494,0.000660494
2,78.232,1.48765,1.58806,1.44173,0.96338,0.95522,0.98924,0.73355,0.98109,1.33499,1.11049,0.00128336,0.00128336,0.00128336
3,106.793,1.55047,1.57388,1.50008,0.98354,0.89204,0.9896,0.83766,0.74067,1.19237,1.00596,0.00186223,0.00186223,0.00186223
4,134.692,1.44257,1.41505,1.44493,0.98006,0.9403,0.96887,0.67347,1.09593,1.09093,1.10438,0.001802,0.001802,0.001802
5,162.116,1.42711,1.28134,1.46148,0.99906,1,0.995,0.82301,0.6992,0.72277,0.93566,0.001736,0.001736,0.001736
6,190.362,1.32383,1.11258,1.36244,0.98527,0.99851,0.99441,0.79086,0.74552,0.75545,0.97796,0.00167,0.00167,0.00167
7,218.89,1.32752,1.06236,1.37717,0.9984,1,0.995,0.87436,0.66412,0.6278,0.92091,0.001604,0.001604,0.001604
8,261.899,1.40504,1.08698,1.46674,0.99926,1,0.995,0.90318,0.50504,0.52617,0.88145,0.001538,0.001538,0.001538
9,301.546,1.32204,0.97676,1.35676,0.99772,1,0.995,0.85015,0.65848,0.62336,0.9087,0.001472,0.001472,0.001472
10,339.752,1.26384,0.93195,1.31515,0.99675,1,0.995,0.86954,0.63441,0.5853,0.92595,0.001406,0.001406,0.001406
11,378.546,1.23854,0.88491,1.32514,0.99897,1,0.995,0.86502,0.53355,0.50186,0.8663,0.00134,0.00134,0.00134
12,416.964,1.21306,0.86633,1.29843,0.99797,1,0.995,0.91123,0.46343,0.43422,0.87554,0.001274,0.001274,0.001274
13,455.833,1.23209,0.88364,1.31744,1,0.99698,0.995,0.88378,0.5691,0.46391,0.86673,0.001208,0.001208,0.001208
14,494.911,1.21521,0.84607,1.27976,0.99902,1,0.995,0.9023,0.45429,0.41461,0.84181,0.001142,0.001142,0.001142
15,534.461,1.11002,0.80115,1.25329,0.99886,1,0.995,0.88996,0.51888,0.42696,0.85865,0.001076,0.001076,0.001076
16,573.82,1.11355,0.7908,1.26251,0.99919,1,0.995,0.93624,0.37826,0.35138,0.81527,0.00101,0.00101,0.00101
17,613.21,1.10376,0.75408,1.25376,0.99833,1,0.995,0.92446,0.44399,0.34355,0.83642,0.000944,0.000944,0.000944
18,653.027,1.07305,0.73987,1.23412,0.99909,1,0.995,0.89054,0.49592,0.37888,0.86666,0.000878,0.000878,0.000878
19,692.077,1.08847,0.73879,1.22812,0.99776,1,0.995,0.90342,0.54878,0.36212,0.87187,0.000812,0.000812,0.000812
20,730.536,1.10265,0.73178,1.23943,0.99914,1,0.995,0.92856,0.44148,0.35619,0.83179,0.000746,0.000746,0.000746
21,769.418,0.88367,0.53757,1.13987,0.9988,1,0.995,0.91698,0.41766,0.35833,0.82862,0.00068,0.00068,0.00068
22,808.119,0.8069,0.50984,1.07613,0.99897,1,0.995,0.9515,0.33767,0.31458,0.80328,0.000614,0.000614,0.000614
23,847.285,0.83463,0.49214,1.10748,0.99891,1,0.995,0.90025,0.46942,0.36278,0.82377,0.000548,0.000548,0.000548
24,886.346,0.77462,0.4743,1.06379,0.9991,1,0.995,0.92134,0.42665,0.33204,0.82549,0.000482,0.000482,0.000482
25,928.855,0.80097,0.46405,1.09664,0.9991,1,0.995,0.89516,0.48488,0.3477,0.82695,0.000416,0.000416,0.000416
26,975.086,0.77475,0.43917,1.0642,0.99916,1,0.995,0.97026,0.28784,0.27769,0.79376,0.00035,0.00035,0.00035
27,1013.72,0.75212,0.44626,1.05288,0.99917,1,0.995,0.96554,0.27485,0.26111,0.78724,0.000284,0.000284,0.000284
28,1051.85,0.72536,0.42136,1.03382,0.99916,1,0.995,0.94039,0.31264,0.26784,0.78545,0.000218,0.000218,0.000218
29,1090.12,0.69509,0.41215,1.02898,0.99918,1,0.995,0.97778,0.24927,0.257,0.77406,0.000152,0.000152,0.000152
30,1129.29,0.68477,0.41886,1.027,0.99916,1,0.995,0.98478,0.2314,0.24481,0.77171,8.6e-05,8.6e-05,8.6e-05
